made,西天満カフェ,Document,"[KAHM-bx1] メニュー/メニューPOP/豊子カーテン/会員カード/イベント案内チラシ/レシピ/伝言ノートx2/営業中のぼり/開店祝いプレート (2019)",
made,カフェファイル,Document/Receipt,"[KAHM] レシート支払い控え,メモ, 2019",
made,カフェ資料,Receipt,"[KAHM] 売上伝票,カフェレシート, 2019",
free,御見積書,Document,"[KAHM-bx1] 神崎ガスセンター, 2019",
free,PayPay説明書,Document/Sticker,"[KAHM-bx1] 2019",
collaborations,レジデンス to EditionNord,Document,"[KAHM-bx2] 2019",
gift,scent,Sticker,"[KAHM-bx2-f.g] by Josefina Valdés, 2019",
collaborations,銃を作ろう,Wood,"[KAHM-bx1] by Emilio Algo,お客さん, 2019",
collaborations,理想の一日,Booklet,"[KAHM-bx2-f.g] by mkt",
collaborations,書道と陶芸,記録,"[KAHM-bx1] by JP,VD,お客さん二名,あくちゃん,pal,あっち,まろ,かおちょ, 2019",
gift,食品サンプル,Figure,"[KAHM-bx1] 目玉焼き,クロックムッシュ by Sammy Stein, 2019",
gift,髪の毛,Hair,"[KAHM-bx2-f.g] by sammy,vanessa,sevrine,kaori, 2019",
collaborations,月間カフェ会員入会書,Sign,"[KAHM-bx1] by JP,VZ,SB,SS (2019)",
collaborations,日仏の友情,Booklet,"[KAHM-bx2] フレンドリーでプロフェッショナルな会議-100%の友達 by Jean-Phillipe-Bretin, 2019",
collaborations,"K PARTY","Flyer/Sticker","[KAHM] チラシ1種, ステッカー5種",
collaborations,Friendly Form Shop Osaka Branch,Form,"[KAHM-bx1] by Ｎｉｃｋ,Ｄａｖｉｄ,pal,まろ,かおちょ, 2019",
gift,加賀屋天満宮の手ぬぐい,Cloth,"[KAHM-bx2] 加賀屋天満宮",
collaborations,water tasting,Document,"[KAHM-bx2-f.g] by laurel,あっち,まろ,かおちょ, 2019",
collaborations,部屋のための指示,Booklet,"[KAHM-bx2] by Laurel schwulst, 2019",
gift,the whole city is full of wishes,Booklet,"[UR] by wish books, nyc, Elliot Cost | october, 2019",
collaborations,壊れたもの,Objects,"[KAHM-bx1] コップ,ディスプレイ部品,スマホマジックリング,ドアノブ,泥団子,壁, 2019",
gift,メンバー相関図,Document,"[KAHM-bx2-f.g] by あっち, 2019",
bought,誕生日占い,Fortune,"[KAHM-bx1] 1月11日/1月22日/3月21日/6月3日/8月11日/12月23日, 2019",
made,"A+ A- AA CC K2 X W",Artwork/Website,"[KAHM-bx2] i choose | 質問プレート, おみくじ, CC冊子, Noシール, 2019",
made,"∧°┐ 2019",Booklet,"[KAHM-bx2] Digital Magazine 01 - 13, レシピ集, あっちマンガ, pehu talk冊子, 2019",
made,"∧°┐ 2019 | Special Gift Box",Screen,"[KAHM-bx2] スクリーン版 2019",
gift,手紙,Letter,"[KAHM-bx2-f.g] by anna,emma,laurel,vanessa,almand,someone",
